item_id,item_name,item_category,item_price
506,Product_506,Health,85.5
507,Product_507,Sports,455.91
508,Product_508,Clothing,412.16
509,Product_509,Sports,475.15
510,Product_510,Books,364.23
511,Product_511,Toys,308.64
512,Product_512,Electronics,212.03
513,Product_513,Clothing,466.7
514,Product_514,Books,433.7
515,Product_515,Health,27.38
516,Product_516,Books,18.05
517,Product_517,Books,191.35
518,Product_518,Electronics,406.22
519,Product_519,Home & Kitchen,493.7
520,Product_520,Sports,79.46
521,Product_521,Sports,299.09
522,Product_522,Health,193.54
523,Product_523,Toys,485.11
524,Product_524,Health,421.85
525,Product_525,Home & Kitchen,419.97
526,Product_526,Sports,237.0
527,Product_527,Toys,210.34
528,Product_528,Health,140.34
529,Product_529,Toys,32.91
530,Product_530,Books,433.04
531,Product_531,Clothing,407.39
532,Product_532,Books,499.86
533,Product_533,Electronics,498.34
534,Product_534,Sports,279.94
535,Product_535,Toys,385.65
536,Product_536,Health,472.66
537,Product_537,Clothing,425.58
538,Product_538,Health,127.44
539,Product_539,Sports,228.02
540,Product_540,Toys,68.93
541,Product_541,Toys,477.26
542,Product_542,Books,305.06
543,Product_543,Clothing,118.18
544,Product_544,Clothing,337.49
545,Product_545,Sports,310.97
546,Product_546,Toys,182.29
547,Product_547,Clothing,61.21
548,Product_548,Clothing,337.43
549,Product_549,Health,262.55
550,Product_550,Sports,387.3
551,Product_551,Books,262.48
552,Product_552,Health,426.83
553,Product_553,Health,278.19
554,Product_554,Home & Kitchen,282.66
555,Product_555,Electronics,438.94
556,Product_556,Home & Kitchen,204.72
557,Product_557,Clothing,71.34
558,Product_558,Toys,19.25
559,Product_559,Electronics,378.79
560,Product_560,Electronics,312.05
561,Product_561,Toys,353.52
562,Product_562,Electronics,110.42
563,Product_563,Toys,72.5
564,Product_564,Electronics,12.2
565,Product_565,Health,178.54
566,Product_566,Sports,297.01
567,Product_567,Sports,199.16
568,Product_568,Home & Kitchen,221.55
569,Product_569,Health,452.56
570,Product_570,Electronics,177.39
571,Product_571,Books,259.42
572,Product_572,Toys,392.91
573,Product_573,Health,201.29
574,Product_574,Electronics,312.93
575,Product_575,Sports,431.87
576,Product_576,Sports,475.01
577,Product_577,Toys,77.8
578,Product_578,Books,463.66
579,Product_579,Electronics,248.6
580,Product_580,Electronics,132.83
581,Product_581,Books,232.27
582,Product_582,Books,490.12
583,Product_583,Books,248.85
584,Product_584,Sports,167.73
585,Product_585,Toys,318.53
586,Product_586,Health,123.87
587,Product_587,Books,42.55
588,Product_588,Toys,68.8
589,Product_589,Home & Kitchen,68.38
590,Product_590,Electronics,80.19
591,Product_591,Electronics,73.72
592,Product_592,Clothing,322.23
593,Product_593,Home & Kitchen,95.03
594,Product_594,Health,176.11
595,Product_595,Books,448.91
596,Product_596,Books,239.61
597,Product_597,Health,335.44
598,Product_598,Sports,90.3
599,Product_599,Home & Kitchen,100.18
600,Product_600,Books,25.23
601,Product_601,Clothing,88.62
602,Product_602,Toys,142.9
603,Product_603,Electronics,92.62
604,Product_604,Home & Kitchen,48.91
605,Product_605,Electronics,64.71
606,Product_606,Toys,233.09
607,Product_607,Home & Kitchen,107.14
608,Product_608,Toys,185.31
609,Product_609,Books,254.19
610,Product_610,Health,346.75
611,Product_611,Books,24.46
612,Product_612,Health,400.71
613,Product_613,Books,315.81
614,Product_614,Toys,45.47
615,Product_615,Toys,437.42
616,Product_616,Toys,460.83
617,Product_617,Electronics,35.23
618,Product_618,Toys,142.05
619,Product_619,Books,404.07
620,Product_620,Clothing,375.39
621,Product_621,Toys,96.34
622,Product_622,Clothing,108.63
623,Product_623,Health,188.38
624,Product_624,Books,244.84
625,Product_625,Toys,311.04
626,Product_626,Electronics,187.61
627,Product_627,Electronics,233.95
628,Product_628,Health,375.0
629,Product_629,Clothing,23.16
630,Product_630,Sports,129.96
631,Product_631,Electronics,358.11
632,Product_632,Electronics,448.13
633,Product_633,Electronics,258.28
634,Product_634,Books,268.4
635,Product_635,Electronics,58.05
636,Product_636,Home & Kitchen,226.47
637,Product_637,Toys,268.65
638,Product_638,Health,125.02
639,Product_639,Electronics,138.28
640,Product_640,Sports,191.76
641,Product_641,Sports,14.94
642,Product_642,Electronics,164.43
643,Product_643,Electronics,109.67
644,Product_644,Home & Kitchen,167.11
645,Product_645,Electronics,64.28
646,Product_646,Electronics,445.81
