product_id,review_score,review_count
501,3.1,174
502,2.9,559
503,1.1,527
504,2.4,873
505,2.5,659
506,2.6,26
507,3.3,820
508,3.1,605
509,3.4,406
510,4.1,232
511,4.3,533
512,3.9,819
513,4.8,550
514,1.1,788
515,1.8,505
516,1.0,669
517,3.6,179
518,4.6,132
519,2.0,823
520,4.7,455
521,1.2,348
522,4.7,540
523,2.4,772
524,1.4,406
525,2.9,76
526,2.0,941
527,2.1,579
528,2.2,854
529,4.2,492
530,3.2,194
531,2.2,984
532,3.4,162
533,3.9,347
534,2.1,951
535,2.7,361
536,1.5,769
537,1.7,584
538,3.7,87
539,1.7,934
540,3.1,262
541,3.8,214
542,1.4,665
543,3.3,722
544,2.0,913
545,4.9,573
546,2.9,780
547,4.2,262
548,3.2,730
549,1.2,283
550,3.5,648
551,4.8,467
552,3.4,380
553,4.3,362
554,4.5,449
555,1.9,441
556,1.8,93
557,3.4,621
558,2.6,753
559,4.4,867
560,4.6,424
561,2.4,142
562,1.9,291
563,4.1,432
564,2.1,749
565,4.3,852
566,2.7,824
567,3.7,689
568,1.4,653
569,3.5,701
570,2.8,998
571,3.3,49
572,1.7,302
573,3.9,881
574,4.5,190
575,1.9,136
576,1.4,555
577,1.1,404
578,3.6,892
579,3.4,865
580,3.2,602
581,1.9,807
582,2.6,341
583,3.4,757
584,3.0,945
585,5.0,704
586,1.5,318
587,3.8,618
588,2.6,363
589,2.7,822
590,3.9,382
591,3.8,233
592,5.0,777
593,1.5,344
594,1.4,549
595,3.9,817
596,3.3,553
597,2.1,529
598,1.3,856
599,1.3,789
600,4.6,819
601,1.8,571
602,2.3,935
603,1.9,183
604,2.4,41
605,1.3,551
606,3.1,397
607,1.3,704
608,4.2,779
609,1.9,494
610,3.2,659
611,4.5,907
612,3.6,333
613,3.1,127
614,2.3,558
615,2.3,557
616,3.7,1
617,5.0,168
618,3.6,620
619,3.2,19
620,3.9,332
621,2.9,584
622,1.2,456
623,3.2,957
624,4.8,109
625,1.7,268
626,3.8,445
627,1.8,240
628,3.1,929
629,1.4,301
630,2.8,602
631,4.0,103
632,2.4,988
633,3.7,250
634,4.2,453
635,4.7,520
636,1.9,153
637,2.6,859
638,1.6,174
639,5.0,343
640,4.7,670
641,3.2,431
642,4.4,727
643,3.1,689
644,3.5,687
645,1.4,852
646,4.0,850
647,1.5,658
648,4.3,962
649,4.1,324
650,3.8,990
651,1.1,673
652,2.2,639
653,2.1,420
654,2.4,594
655,1.4,485
656,4.7,659
657,3.2,751
658,2.2,412
659,2.6,936
660,2.8,84
661,3.4,113
662,3.1,737
663,4.7,332
664,3.0,378
665,5.0,755
666,4.4,655
667,1.8,41
668,4.7,935
669,1.5,770
670,4.3,959
671,2.5,797
672,4.5,105
673,4.5,202
674,4.2,450
675,4.2,819
676,2.2,843
677,1.3,973
678,2.6,266
679,1.7,910
680,3.8,210
681,2.4,563
682,4.9,118
683,3.6,713
684,4.3,377
685,1.5,551
686,4.4,540
687,4.7,771
688,2.9,84
689,3.4,454
690,4.1,667
691,1.7,629
692,3.0,514
693,2.6,605
694,1.6,678
695,2.5,387
696,1.3,912
697,1.1,350
698,1.5,296
699,4.9,258
700,3.2,81
701,4.9,937
702,2.7,268
703,2.2,419
704,3.0,235
705,2.8,833
706,1.4,311
707,3.6,813
708,1.9,975
709,3.5,986
710,3.6,357
711,1.6,213
712,1.2,574
713,4.1,49
714,2.8,127
715,1.2,223
716,5.0,921
717,1.2,279
718,3.8,408
719,4.9,505
720,2.0,294
721,1.6,796
722,1.5,277
723,2.2,438
724,1.4,107
725,3.8,658
726,1.2,420
727,3.0,611
728,5.0,429
729,4.3,375
730,3.5,73
731,2.2,949
732,3.5,998
733,3.1,634
734,2.7,30
735,1.5,188
736,4.5,364
737,2.8,866
738,1.8,800
739,2.5,451
740,2.7,195
741,4.3,156
742,3.9,172
743,4.1,847
744,1.0,41
745,2.7,63
746,2.9,23
747,1.1,360
748,2.0,75
749,4.0,560
750,1.5,672
751,3.1,825
752,1.9,118
753,1.0,612
754,2.0,380
755,4.9,929
756,4.2,920
757,4.8,679
758,3.0,290
759,1.4,440
760,3.2,668
761,2.8,933
762,4.4,7
763,1.4,196
764,3.0,421
765,1.6,568
766,2.3,833
767,3.9,193
768,2.9,559
769,2.5,148
770,2.6,787
771,2.8,669
772,4.1,202
773,4.6,444
774,4.8,914
775,4.1,988
776,2.3,419
777,3.8,427
778,2.8,479
779,2.0,475
780,4.4,126
781,1.2,395
782,4.6,817
783,2.8,881
784,3.5,806
785,3.6,576
786,4.6,325
787,3.5,392
788,3.5,930
789,1.3,688
790,3.1,628
791,1.6,440
792,3.9,204
793,3.0,486
794,3.7,833
795,1.2,31
796,1.3,388
797,3.9,625
798,1.3,877
799,1.3,434
800,1.0,837
801,4.8,926
802,4.0,376
803,2.4,344
804,2.2,443
805,2.4,579
806,4.1,75
807,3.6,557
808,1.7,772
809,1.7,666
810,1.4,155
811,3.6,430
812,4.1,363
813,2.1,448
814,1.1,987
815,1.3,234
816,4.9,563
817,2.2,818
818,4.1,262
819,3.5,827
820,2.5,125
821,1.8,911
822,1.5,245
823,3.5,542
824,4.1,938
825,3.6,485
826,3.1,122
827,1.2,125
828,4.9,549
829,4.2,170
830,2.2,124
831,4.9,869
832,3.4,35
833,3.3,87
834,4.0,646
835,4.2,708
836,3.6,786
837,1.5,201
838,2.4,369
839,4.7,797
840,1.9,77
841,2.5,59
842,2.7,431
843,2.8,638
844,3.5,500
845,4.8,913
846,2.0,109
847,1.5,736
848,1.8,278
849,4.5,68
850,3.6,69
851,2.1,165
852,4.3,489
853,4.4,305
854,4.4,909
855,4.7,674
856,2.0,365
857,4.0,854
858,2.8,821
859,4.4,379
860,3.9,343
861,4.1,947
862,3.6,899
863,1.7,554
864,3.2,354
865,4.9,416
866,4.7,109
867,1.2,563
868,1.7,762
869,1.5,497
870,3.9,341
871,4.3,942
872,1.9,383
873,3.0,533
874,4.4,300
875,3.9,139
876,3.2,359
877,3.4,836
878,3.0,499
879,2.2,385
880,3.3,604
881,3.8,959
882,4.5,280
883,3.5,637
884,4.0,483
885,1.6,909
886,2.8,111
887,1.0,866
888,2.0,139
889,3.9,996
890,5.0,435
891,1.4,509
892,2.6,273
893,4.2,99
894,1.8,764
895,3.2,850
896,3.9,104
897,3.5,214
898,1.8,761
899,2.4,664
900,4.1,762
901,3.2,787
902,1.0,165
903,4.0,999
904,1.1,853
905,4.0,520
906,1.8,284
907,4.8,517
908,2.5,657
909,2.3,613
910,1.6,164
911,2.2,886
912,4.5,659
913,5.0,64
914,2.5,91
915,2.8,117
916,3.9,866
917,4.5,267
918,3.4,822
919,2.6,685
920,2.7,559
921,3.8,140
922,1.0,246
923,3.5,661
924,2.4,758
925,4.2,395
926,1.4,487
927,3.4,476
928,2.9,517
929,3.6,977
930,1.3,184
931,3.3,20
932,3.2,937
933,3.2,558
934,3.4,524
935,3.7,582
936,4.2,529
937,2.1,883
938,4.3,147
939,3.0,666
940,1.3,304
941,1.2,620
942,2.3,748
943,4.1,820
944,3.8,864
945,4.2,582
946,3.1,695
947,2.8,762
948,1.6,228
949,2.3,102
950,2.7,587
951,1.4,417
952,1.9,958
953,3.4,216
954,3.9,407
955,5.0,399
956,4.7,923
957,3.6,715
958,2.7,704
959,3.5,761
960,4.1,499
961,1.5,754
962,2.6,465
963,4.4,691
964,2.5,949
965,3.3,974
966,3.4,731
967,1.7,82
968,2.4,604
969,2.3,947
970,1.1,687
971,1.1,751
972,4.3,772
973,2.1,903
974,3.1,365
975,2.2,163
976,4.8,48
977,2.0,511
978,2.7,329
979,4.5,840
980,4.4,116
981,1.7,941
982,4.2,849
983,2.8,337
984,2.9,881
985,1.5,737
986,1.3,864
987,3.9,840
988,3.0,147
989,2.7,575
990,3.9,806
991,4.1,323
992,1.6,443
993,3.4,837
994,1.5,13
995,4.0,943
996,3.6,494
997,4.8,701
998,1.3,287
999,1.2,720
1000,2.1,114
