product_id,period,quantity_sold
1,1,479
1,2,449
1,3,92
1,4,784
1,5,604
1,6,904
1,7,446
1,8,603
1,9,807
1,10,252
1,11,695
1,12,306
2,1,21
2,2,989
2,3,861
2,4,863
2,5,524
2,6,128
2,7,610
2,8,436
2,9,176
2,10,294
2,11,772
2,12,353
3,1,348
3,2,558
3,3,567
3,4,143
3,5,771
3,6,409
3,7,290
3,8,828
3,9,340
3,10,667
3,11,267
3,12,392
4,1,725
4,2,678
4,3,59
4,4,15
4,5,937
4,6,421
4,7,670
4,8,933
4,9,56
4,10,157
4,11,168
4,12,203
5,1,682
5,2,451
5,3,649
5,4,301
5,5,620
5,6,293
5,7,411
5,8,258
5,9,854
5,10,548
5,11,770
5,12,257
6,1,834
6,2,288
6,3,38
6,4,422
6,5,329
6,6,245
6,7,614
6,8,979
6,9,851
6,10,630
6,11,738
6,12,485
7,1,565
7,2,140
7,3,539
7,4,244
7,5,188
7,6,700
7,7,896
7,8,965
7,9,447
7,10,66
7,11,32
7,12,516
8,1,905
8,2,83
8,3,48
8,4,926
8,5,94
8,6,555
8,7,280
8,8,102
8,9,202
8,10,753
8,11,376
8,12,445
9,1,809
9,2,693
9,3,419
9,4,106
9,5,616
9,6,85
9,7,42
9,8,992
9,9,696
9,10,298
9,11,213
9,12,708
10,1,319
10,2,390
10,3,636
10,4,87
10,5,7
10,6,555
10,7,485
10,8,566
10,9,632
10,10,462
10,11,561
10,12,179
11,1,125
11,2,590
11,3,12
11,4,128
11,5,66
11,6,841
11,7,595
11,8,768
11,9,737
11,10,724
11,11,439
11,12,341
12,1,276
12,2,214
12,3,991
12,4,906
12,5,495
12,6,374
12,7,962
12,8,100
12,9,201
12,10,819
12,11,491
12,12,132
13,1,975
13,2,525
13,3,35
13,4,886
13,5,190
13,6,445
13,7,702
13,8,197
13,9,329
13,10,100
13,11,392
13,12,442
14,1,203
14,2,214
14,3,100
14,4,340
14,5,365
14,6,377
14,7,50
14,8,812
14,9,362
14,10,55
14,11,488
14,12,835
15,1,193
15,2,402
15,3,793
15,4,3
15,5,767
15,6,389
15,7,897
15,8,225
15,9,891
15,10,331
15,11,721
15,12,252
16,1,680
16,2,127
16,3,85
16,4,326
16,5,520
16,6,656
16,7,209
16,8,942
16,9,453
16,10,835
16,11,945
16,12,264
17,1,663
17,2,821
17,3,515
17,4,409
17,5,989
17,6,50
17,7,125
17,8,462
17,9,355
